# DataSuite 2 reference corpus – slug <TAB> reference text, sorted by slug. See README.md.
method:biserial-correlation	Pearson K (1909). “On a new method of determining correlation between a measured character A, and a character B, of which only the percentage of cases wherein B exceeds (or falls short of) a given intensity is recorded for each grade of A.” _Biometrika_, *7*(1-2), 96-105. doi:10.1093/biomet/7.1-2.96
method:blomqvist-beta	Blomqvist N (1950). “On a measure of dependence between two random variables.” _The Annals of Mathematical Statistics_, *21*(4), 593-600. doi:10.1214/aoms/1177729754
method:bock-lieberman	Bock RD, Lieberman M (1970). “Fitting a response model for n dichotomously scored items.” _Psychometrika_, *35*(2), 179-197. doi:10.1007/BF02291262
method:bonett-sd-interval	Bonett DG (2006). “Approximate confidence interval for standard deviation of nonnormal distributions.” _Computational Statistics & Data Analysis_, *50*(3), 775-782. doi:10.1016/j.csda.2004.10.003
method:bonferroni	Dunn OJ (1961). “Multiple comparisons among means.” _Journal of the American Statistical Association_, *56*(293), 52-64. doi:10.1080/01621459.1961.10482090
method:box-cox	Box GEP, Cox DR (1964). “An analysis of transformations.” _Journal of the Royal Statistical Society. Series B (Methodological)_, *26*(2), 211-252. doi:10.1111/j.2517-6161.1964.tb00553.x
method:boxplot-notch	McGill R, Tukey JW, Larsen WA (1978). “Variations of box plots.” _The American Statistician_, *32*(1), 12-16. doi:10.1080/00031305.1978.10479236
method:breslow-ties	Breslow N (1974). “Covariance analysis of censored survival data.” _Biometrics_, *30*(1), 89-99. doi:10.2307/2529620
method:breusch-pagan	Breusch TS, Pagan AR (1979). “A simple test for heteroscedasticity and random coefficient variation.” _Econometrica_, *47*(5), 1287-1294. doi:10.2307/1911963
method:calinski-harabasz	Caliński T, Harabasz J (1974). “A dendrite method for cluster analysis.” _Communications in Statistics_, *3*(1), 1-27. doi:10.1080/03610927408827101
method:canberra-distance	Lance GN, Williams WT (1966). “Computer programs for hierarchical polythetic classification (‘similarity analyses’).” _The Computer Journal_, *9*(1), 60-64. doi:10.1093/comjnl/9.1.60
method:careless-responding	Johnson JA (2005). “Ascertaining the validity of individual protocols from web-based personality inventories.” _Journal of Research in Personality_, *39*(1), 103-129. doi:10.1016/j.jrp.2004.09.009
method:careless-responding	Meade AW, Craig SB (2012). “Identifying careless responses in survey data.” _Psychological Methods_, *17*(3), 437-455. doi:10.1037/a0028085
method:careless-responding	Curran PG (2016). “Methods for the detection of carelessly invalid responses in survey data.” _Journal of Experimental Social Psychology_, *66*, 4-19. doi:10.1016/j.jesp.2015.07.006
method:careless-responding	Dunn AM, Heggestad ED, Shanock LR, Theilgard N (2018). “Intra-individual response variability as an indicator of insufficient effort responding: Comparison to other indicators and relationships with individual differences.” _Journal of Business and Psychology_, *33*(1), 105-121. doi:10.1007/s10869-016-9479-0
method:cauchy-combination	Liu Y, Xie J (2020). “Cauchy combination test: a powerful test with analytic p-value calculation under arbitrary dependency structures.” _Journal of the American Statistical Association_, *115*(529), 393-402. doi:10.1080/01621459.2018.1554485
method:cause-specific-hazards	Prentice RL, Kalbfleisch JD, Peterson AV, Flournoy N, Farewell VT, Breslow NE (1978). “The analysis of failure times in the presence of competing risks.” _Biometrics_, *34*(4), 541-554. doi:10.2307/2530374
method:cfi	Bentler PM (1990). “Comparative fit indexes in structural models.” _Psychological Bulletin_, *107*(2), 238-246. doi:10.1037/0033-2909.107.2.238
